名称,面积,朝向,户型,位置,楼层,是否有电梯,建成时间, 门锁,绿化
自如友家·福星惠誉红桥城·5居室-06卧,16.2㎡,朝东南,5室1厅,"
小区距1号线新荣站步行约139米
 ",18/38,有,2016年建成,智能门锁,35%
自如友家·石桥花园B区·6居室-02卧,17.06㎡,朝南,6室1厅,"
小区距6号线石桥站步行约406米
 ",5/32,有,2009年建成,智能门锁,30%
业主直租·福星城南区·2居室,93.75㎡,朝南,2室1厅,"
小区距2号线长港路站步行约977米
 ",21/51,有,2013年建成,智能门锁,30%
业主直租·常青花园恒大御景·2居室,79㎡,朝南,2室1厅,"
小区距2号线金银潭站步行约827米
 ",8/17,有,2021年建成,智能门锁,30%
自如友家·石桥花园C区·5居室-06卧,19.3㎡,朝南,5室1厅,"
小区距6号线石桥站步行约909米
 ",32/33,有,2019年建成,智能门锁,30%
自如友家·融侨锦城·4居室-05卧,12.8㎡,朝南,4室1厅,"
小区距1号线古田三路站步行约222米
 ",10/18,有,2007年建成,智能门锁,36%
自如友家·海虹公寓·3居室-01卧,21.1㎡,朝南,3室1厅,"
小区距6号线唐家墩站步行约721米
 ",5/7,无,2001年建成,智能门锁,32%
自如友家·统建同安家园·4居室-05卧,18.1㎡,朝南,4室1厅,"
小区距3号线后湖大道站步行约333米
 ",13/18,有,2009年建成,智能门锁,47%
自如友家·福星华府誉境·4居室-05卧,14.3㎡,朝南,4室1厅,"
小区距6号线杨汊湖站步行约530米
 ",8/44,有,2020年建成,智能门锁,30%
自如友家·融创融公馆·4居室-05卧,14.3㎡,朝南,4室1厅,"
小区距6号线杨汊湖站步行约775米
 ",41/48,有,2018年建成,智能门锁,35%
自如友家·融创公园壹号二期·4居室-05卧,15.8㎡,朝南,4室1厅,"
小区距8号线中一路站步行约726米
 ",2/34,有,2017年建成,智能门锁,35%
自如友家·百步亭长青壹号·3居室-01卧,19.8㎡,朝南,3室1厅,"
小区距2号线常青花园站步行约528米
 ",21/24,有,2019年建成,智能门锁,30%
自如友家·千禧城·5居室-06卧,17.7㎡,朝南,5室1厅,"
小区距1号线古田三路站步行约19米
 ",25/47,有,2019年建成,智能门锁,55%
自如友家·福星惠誉红桥城·5居室-06卧,18㎡,朝南,5室1厅,"
小区距21号线(阳逻线)新荣客运站站步行约771米
 ",34/42,有,2016年建成,智能门锁,35%
自如友家·纽宾凯公园里·4居室-05卧,17.9㎡,朝南,4室1厅,"
小区距4号线十里铺站步行约95米
 ",36/45,有,2020年建成,智能门锁,18%
自如友家·汉口春天·3居室-01卧,17.49㎡,朝南,3室1厅,"
小区距1号线古田二路站步行约438米
 ",5/6,无,2007年建成,智能门锁,40%
自如友家·华锦花园·4居室-05卧,17㎡,朝南,4室1厅,"
小区距7号线建安街站步行约160米
 ",4/7,无,2000年建成,智能门锁,37%
自如友家·现代城三区·3居室-02卧,14㎡,朝南,3室1厅,"
小区距1号线丹水池站步行约201米
 ",22/27,有,2013年建成,智能门锁,36%
自如友家·常青花园十一小区·3居室-03卧,17.5㎡,朝南,3室1厅,"
小区距2号线常青花园站步行约272米
 ",8/12,有,2008年建成,智能门锁,36%
自如友家·常青花园五小区·3居室-03卧,14.4㎡,朝南,3室1厅,"
小区距2号线金银潭站步行约235米
 ",26/27,有,2006年建成,智能门锁,40%
自如友家·地铁汉阳城·3居室-03卧,11.4㎡,朝南,3室1厅,"
小区距4号线汉阳火车站站步行约144米
 ",6/31,有,2019年建成,智能门锁,32%
自如友家·新地盛世东方·4居室-05卧,14.89㎡,朝南,4室1厅,"
小区距3号线兴业路站步行约271米
 ",7/26,有,2013年建成,智能门锁,35%
自如友家·龙湖光谷城·5居室-06卧,17㎡,朝南,5室1厅,"
小区距11号线光谷五路站步行约1113米
 ",19/34,有,2021年建成,智能门锁,暂无数据
自如友家·光谷8号·3居室-02卧,14.2㎡,朝南,3室1厅,"
小区距2号线光谷大道站步行约234米
 ",16/32,有,2015年建成,智能门锁,35%
自如友家·金岛御璟世家跃境·4居室-05卧,16.8㎡,朝南,4室1厅,"
小区距3号线罗家庄站步行约342米
 ",8/34,有,2017年建成,智能门锁,30%
自如友家·东湖景园A区·4居室-05卧,17.5㎡,朝南,4室1厅,"
小区距4号线铁机路站步行约922米
 ",20/34,有,2011年建成,智能门锁,35%
自如友家·融侨锦城·4居室-05卧,16.45㎡,朝南,4室1厅,"
小区距1号线古田三路站步行约315米
 ",15/18,有,2007年建成,智能门锁,36%
自如友家·紫菘花园·3居室-02卧,19.9㎡,朝南,3室1厅,"
小区距2号线光谷广场站步行约1186米
 ",5/8,有,1999年建成,智能门锁,33%
